統計期,廠牌,數量
111年 2月,SUZUKI,27
111年 3月,SUZUKI,46
111年 4月,SUZUKI,33
111年 5月,SUZUKI,43
111年 6月,SUZUKI,40
111年 7月,SUZUKI,34
111年 8月,SUZUKI,22
111年 9月,SUZUKI,16
111年 10月,SUZUKI,7
111年 11月,SUZUKI,19
111年 12月,SUZUKI,17
112年 1月,SUZUKI,23
112年 2月,SUZUKI,15
112年 3月,SUZUKI,22
112年 4月,SUZUKI,20
112年 5月,SUZUKI,16
112年 6月,SUZUKI,12
112年 7月,SUZUKI,67
112年 8月,SUZUKI,60
107年 1月,TRIUMPH,52
107年 2月,TRIUMPH,17
107年 3月,TRIUMPH,35
107年 4月,TRIUMPH,22
107年 5月,TRIUMPH,13
107年 6月,TRIUMPH,18
107年 7月,TRIUMPH,27
107年 8月,TRIUMPH,21
107年 9月,TRIUMPH,33
107年 10月,TRIUMPH,31
107年 11月,TRIUMPH,39
107年 12月,TRIUMPH,44
108年 1月,TRIUMPH,43
108年 2月,TRIUMPH,22
108年 3月,TRIUMPH,31
108年 4月,TRIUMPH,41
108年 5月,TRIUMPH,29
108年 6月,TRIUMPH,20
108年 7月,TRIUMPH,37
108年 8月,TRIUMPH,34
108年 9月,TRIUMPH,48
108年 10月,TRIUMPH,30
108年 11月,TRIUMPH,27
108年 12月,TRIUMPH,27
109年 1月,TRIUMPH,17
109年 2月,TRIUMPH,26
109年 3月,TRIUMPH,53
109年 4月,TRIUMPH,59
109年 5月,TRIUMPH,44
109年 6月,TRIUMPH,36
109年 7月,TRIUMPH,19
109年 8月,TRIUMPH,39
109年 9月,TRIUMPH,42
109年 10月,TRIUMPH,40
109年 11月,TRIUMPH,53
109年 12月,TRIUMPH,29
110年 1月,TRIUMPH,29
110年 2月,TRIUMPH,21
110年 3月,TRIUMPH,26
110年 4月,TRIUMPH,35
110年 5月,TRIUMPH,13
110年 6月,TRIUMPH,50
110年 7月,TRIUMPH,74
110年 8月,TRIUMPH,114
110年 9月,TRIUMPH,74
110年 10月,TRIUMPH,173
110年 11月,TRIUMPH,173
110年 12月,TRIUMPH,129
111年 1月,TRIUMPH,76
111年 2月,TRIUMPH,26
111年 3月,TRIUMPH,50
111年 4月,TRIUMPH,24
111年 5月,TRIUMPH,26
111年 6月,TRIUMPH,55
111年 7月,TRIUMPH,136
111年 8月,TRIUMPH,91
111年 9月,TRIUMPH,111
111年 10月,TRIUMPH,164
111年 11月,TRIUMPH,117
111年 12月,TRIUMPH,104
112年 1月,TRIUMPH,58
112年 2月,TRIUMPH,42
112年 3月,TRIUMPH,96
112年 4月,TRIUMPH,70
112年 5月,TRIUMPH,52
112年 6月,TRIUMPH,75
112年 7月,TRIUMPH,58
112年 8月,TRIUMPH,71
107年 1月,YAMAHA,384
107年 2月,YAMAHA,229
107年 3月,YAMAHA,489
107年 4月,YAMAHA,389
107年 5月,YAMAHA,462
107年 6月,YAMAHA,434
107年 7月,YAMAHA,393
107年 8月,YAMAHA,333
107年 9月,YAMAHA,316
107年 10月,YAMAHA,281
107年 11月,YAMAHA,269
107年 12月,YAMAHA,352
108年 1月,YAMAHA,365
108年 2月,YAMAHA,207
108年 3月,YAMAHA,390
108年 4月,YAMAHA,334
108年 5月,YAMAHA,314
108年 6月,YAMAHA,302
108年 7月,YAMAHA,497
108年 8月,YAMAHA,302
108年 9月,YAMAHA,334
108年 10月,YAMAHA,311
