統計期,廠牌,數量
111年 12月,HARLEY-DAVIDSON,"8,598"
112年 1月,HARLEY-DAVIDSON,"8,607"
112年 2月,HARLEY-DAVIDSON,"8,617"
112年 3月,HARLEY-DAVIDSON,"8,650"
112年 4月,HARLEY-DAVIDSON,"8,693"
112年 5月,HARLEY-DAVIDSON,"8,736"
112年 6月,HARLEY-DAVIDSON,"8,773"
112年 7月,HARLEY-DAVIDSON,"8,802"
112年 8月,HARLEY-DAVIDSON,"8,830"
107年 1月,HONDA,"15,311"
107年 2月,HONDA,"15,413"
107年 3月,HONDA,"15,647"
107年 4月,HONDA,"15,782"
107年 5月,HONDA,"15,930"
107年 6月,HONDA,"16,122"
107年 7月,HONDA,"16,460"
107年 8月,HONDA,"16,772"
107年 9月,HONDA,"17,005"
107年 10月,HONDA,"17,271"
107年 11月,HONDA,"17,453"
107年 12月,HONDA,"17,648"
108年 1月,HONDA,"17,858"
108年 2月,HONDA,"18,064"
108年 3月,HONDA,"18,289"
108年 4月,HONDA,"18,844"
108年 5月,HONDA,"19,189"
108年 6月,HONDA,"19,566"
108年 7月,HONDA,"19,793"
108年 8月,HONDA,"20,094"
108年 9月,HONDA,"20,301"
108年 10月,HONDA,"20,609"
108年 11月,HONDA,"20,839"
108年 12月,HONDA,"20,987"
109年 1月,HONDA,"21,136"
109年 2月,HONDA,"21,717"
109年 3月,HONDA,"21,950"
109年 4月,HONDA,"22,407"
109年 5月,HONDA,"22,766"
109年 6月,HONDA,"23,472"
109年 7月,HONDA,"23,996"
109年 8月,HONDA,"24,316"
109年 9月,HONDA,"24,836"
109年 10月,HONDA,"25,155"
109年 11月,HONDA,"25,490"
109年 12月,HONDA,"25,726"
110年 1月,HONDA,"26,000"
110年 2月,HONDA,"26,219"
110年 3月,HONDA,"26,846"
110年 4月,HONDA,"27,524"
110年 5月,HONDA,"28,222"
110年 6月,HONDA,"29,646"
110年 7月,HONDA,"30,251"
110年 8月,HONDA,"31,175"
110年 9月,HONDA,"32,292"
110年 10月,HONDA,"33,205"
110年 11月,HONDA,"33,991"
110年 12月,HONDA,"34,559"
111年 1月,HONDA,"35,023"
111年 2月,HONDA,"35,423"
111年 3月,HONDA,"36,637"
111年 4月,HONDA,"37,552"
111年 5月,HONDA,"38,458"
111年 6月,HONDA,"39,000"
111年 7月,HONDA,"39,537"
111年 8月,HONDA,"40,231"
111年 9月,HONDA,"41,114"
111年 10月,HONDA,"42,010"
111年 11月,HONDA,"42,484"
111年 12月,HONDA,"43,260"
112年 1月,HONDA,"43,643"
112年 2月,HONDA,"44,742"
112年 3月,HONDA,"45,951"
112年 4月,HONDA,"46,610"
112年 5月,HONDA,"47,941"
112年 6月,HONDA,"48,803"
112年 7月,HONDA,"49,633"
112年 8月,HONDA,"50,502"
107年 1月,HUSQVARNA,72
107年 2月,HUSQVARNA,72
107年 3月,HUSQVARNA,72
107年 4月,HUSQVARNA,72
107年 5月,HUSQVARNA,73
107年 6月,HUSQVARNA,76
107年 7月,HUSQVARNA,77
107年 8月,HUSQVARNA,78
107年 9月,HUSQVARNA,77
107年 10月,HUSQVARNA,81
107年 11月,HUSQVARNA,82
107年 12月,HUSQVARNA,83
108年 1月,HUSQVARNA,85
108年 2月,HUSQVARNA,89
108年 3月,HUSQVARNA,93
108年 4月,HUSQVARNA,103
108年 5月,HUSQVARNA,121
108年 6月,HUSQVARNA,134
108年 7月,HUSQVARNA,151
108年 8月,HUSQVARNA,159
108年 9月,HUSQVARNA,165
108年 10月,HUSQVARNA,167
108年 11月,HUSQVARNA,174
108年 12月,HUSQVARNA,183
109年 1月,HUSQVARNA,193
109年 2月,HUSQVARNA,198
109年 3月,HUSQVARNA,205
109年 4月,HUSQVARNA,216
109年 5月,HUSQVARNA,225
109年 6月,HUSQVARNA,231
109年 7月,HUSQVARNA,237
109年 8月,HUSQVARNA,243
109年 9月,HUSQVARNA,246
109年 10月,HUSQVARNA,257
109年 11月,HUSQVARNA,266
109年 12月,HUSQVARNA,272
110年 1月,HUSQVARNA,279
110年 2月,HUSQVARNA,290
110年 3月,HUSQVARNA,326
110年 4月,HUSQVARNA,353
110年 5月,HUSQVARNA,429
110年 6月,HUSQVARNA,475
110年 7月,HUSQVARNA,492
110年 8月,HUSQVARNA,509
110年 9月,HUSQVARNA,547
110年 10月,HUSQVARNA,583
110年 11月,HUSQVARNA,632
110年 12月,HUSQVARNA,654
111年 1月,HUSQVARNA,667
111年 2月,HUSQVARNA,674
111年 3月,HUSQVARNA,688
111年 4月,HUSQVARNA,733
111年 5月,HUSQVARNA,764
111年 6月,HUSQVARNA,780
111年 7月,HUSQVARNA,834
111年 8月,HUSQVARNA,862
111年 9月,HUSQVARNA,894
111年 10月,HUSQVARNA,923
111年 11月,HUSQVARNA,949
111年 12月,HUSQVARNA,986
112年 1月,HUSQVARNA,997
112年 2月,HUSQVARNA,"1,015"
112年 3月,HUSQVARNA,"1,056"
112年 4月,HUSQVARNA,"1,089"
112年 5月,HUSQVARNA,"1,117"
112年 6月,HUSQVARNA,"1,150"
112年 7月,HUSQVARNA,"1,177"
112年 8月,HUSQVARNA,"1,198"
107年 1月,INDIAN,458
107年 2月,INDIAN,459
107年 3月,INDIAN,462
107年 4月,INDIAN,470
107年 5月,INDIAN,479
107年 6月,INDIAN,492
107年 7月,INDIAN,498
107年 8月,INDIAN,513
107年 9月,INDIAN,522
107年 10月,INDIAN,526
107年 11月,INDIAN,533
107年 12月,INDIAN,548
108年 1月,INDIAN,553
108年 2月,INDIAN,555
108年 3月,INDIAN,560
108年 4月,INDIAN,571
108年 5月,INDIAN,578
108年 6月,INDIAN,582
108年 7月,INDIAN,592
108年 8月,INDIAN,601
108年 9月,INDIAN,608
108年 10月,INDIAN,614
108年 11月,INDIAN,622
108年 12月,INDIAN,647
109年 1月,INDIAN,645
109年 2月,INDIAN,650
109年 3月,INDIAN,661
109年 4月,INDIAN,680
109年 5月,INDIAN,687
109年 6月,INDIAN,710
109年 7月,INDIAN,727
109年 8月,INDIAN,737
109年 9月,INDIAN,754
109年 10月,INDIAN,780
109年 11月,INDIAN,792
109年 12月,INDIAN,807
110年 1月,INDIAN,820
110年 2月,INDIAN,828
110年 3月,INDIAN,844
110年 4月,INDIAN,862
110年 5月,INDIAN,883
110年 6月,INDIAN,896
110年 7月,INDIAN,908
110年 8月,INDIAN,917
110年 9月,INDIAN,937
110年 10月,INDIAN,953
110年 11月,INDIAN,965
110年 12月,INDIAN,978
111年 1月,INDIAN,995
111年 2月,INDIAN,"1,003"
111年 3月,INDIAN,"1,017"
111年 4月,INDIAN,"1,022"
111年 5月,INDIAN,"1,024"
111年 6月,INDIAN,"1,043"
111年 7月,INDIAN,"1,052"
111年 8月,INDIAN,"1,058"
111年 9月,INDIAN,"1,070"
111年 10月,INDIAN,"1,084"
111年 11月,INDIAN,"1,094"
111年 12月,INDIAN,"1,104"
112年 1月,INDIAN,"1,117"
112年 2月,INDIAN,"1,126"
112年 3月,INDIAN,"1,135"
112年 4月,INDIAN,"1,155"
112年 5月,INDIAN,"1,165"
112年 6月,INDIAN,"1,182"
112年 7月,INDIAN,"1,195"
112年 8月,INDIAN,"1,200"
107年 1月,KAWASAKI,"13,502"
107年 2月,KAWASAKI,"13,617"
107年 3月,KAWASAKI,"13,805"
107年 4月,KAWASAKI,"13,929"
107年 5月,KAWASAKI,"14,029"
107年 6月,KAWASAKI,"14,301"
107年 7月,KAWASAKI,"14,388"
107年 8月,KAWASAKI,"14,691"
107年 9月,KAWASAKI,"14,836"
107年 10月,KAWASAKI,"14,925"
107年 11月,KAWASAKI,"15,026"
107年 12月,KAWASAKI,"15,269"
108年 1月,KAWASAKI,"15,283"
108年 2月,KAWASAKI,"15,394"
108年 3月,KAWASAKI,"15,591"
108年 4月,KAWASAKI,"15,724"
108年 5月,KAWASAKI,"16,138"
108年 6月,KAWASAKI,"16,331"
108年 7月,KAWASAKI,"16,615"
108年 8月,KAWASAKI,"16,756"
108年 9月,KAWASAKI,"16,930"
108年 10月,KAWASAKI,"17,095"
108年 11月,KAWASAKI,"17,267"
108年 12月,KAWASAKI,"17,454"
109年 1月,KAWASAKI,"17,519"
109年 2月,KAWASAKI,"17,695"
109年 3月,KAWASAKI,"17,889"
109年 4月,KAWASAKI,"18,037"
109年 5月,KAWASAKI,"18,288"
109年 6月,KAWASAKI,"18,599"
109年 7月,KAWASAKI,"19,044"
109年 8月,KAWASAKI,"19,358"
109年 9月,KAWASAKI,"19,622"
109年 10月,KAWASAKI,"19,763"
109年 11月,KAWASAKI,"19,820"
109年 12月,KAWASAKI,"20,206"
110年 1月,KAWASAKI,"20,259"
110年 2月,KAWASAKI,"20,286"
110年 3月,KAWASAKI,"20,407"
110年 4月,KAWASAKI,"20,893"
110年 5月,KAWASAKI,"21,230"
110年 6月,KAWASAKI,"21,402"
110年 7月,KAWASAKI,"21,654"
110年 8月,KAWASAKI,"21,819"
110年 9月,KAWASAKI,"22,137"
110年 10月,KAWASAKI,"22,362"
110年 11月,KAWASAKI,"22,592"
110年 12月,KAWASAKI,"22,864"
111年 1月,KAWASAKI,"23,046"
111年 2月,KAWASAKI,"23,157"
111年 3月,KAWASAKI,"23,318"
111年 4月,KAWASAKI,"23,437"
111年 5月,KAWASAKI,"23,504"
111年 6月,KAWASAKI,"23,568"
111年 7月,KAWASAKI,"23,761"
111年 8月,KAWASAKI,"23,994"
111年 9月,KAWASAKI,"24,196"
111年 10月,KAWASAKI,"24,281"
111年 11月,KAWASAKI,"24,553"
111年 12月,KAWASAKI,"24,829"
112年 1月,KAWASAKI,"24,888"
112年 2月,KAWASAKI,"24,961"
112年 3月,KAWASAKI,"25,070"
112年 4月,KAWASAKI,"25,364"
112年 5月,KAWASAKI,"25,729"
112年 6月,KAWASAKI,"26,023"
112年 7月,KAWASAKI,"26,186"
112年 8月,KAWASAKI,"26,311"
107年 1月,KTM,"1,135"
107年 2月,KTM,"1,165"
107年 3月,KTM,"1,189"
107年 4月,KTM,"1,209"
107年 5月,KTM,"1,236"
107年 6月,KTM,"1,295"
107年 7月,KTM,"1,324"
107年 8月,KTM,"1,351"
107年 9月,KTM,"1,387"
107年 10月,KTM,"1,422"
107年 11月,KTM,"1,447"
107年 12月,KTM,"1,487"
108年 1月,KTM,"1,521"
108年 2月,KTM,"1,538"
108年 3月,KTM,"1,570"
108年 4月,KTM,"1,592"
108年 5月,KTM,"1,605"
108年 6月,KTM,"1,635"
108年 7月,KTM,"1,654"
108年 8月,KTM,"1,668"
108年 9月,KTM,"1,690"
108年 10月,KTM,"1,726"
108年 11月,KTM,"1,754"
108年 12月,KTM,"1,793"
109年 1月,KTM,"1,818"
109年 2月,KTM,"1,851"
109年 3月,KTM,"1,890"
109年 4月,KTM,"1,924"
109年 5月,KTM,"1,988"
109年 6月,KTM,"2,035"
109年 7月,KTM,"2,080"
109年 8月,KTM,"2,102"
109年 9月,KTM,"2,189"
109年 10月,KTM,"2,263"
109年 11月,KTM,"2,312"
109年 12月,KTM,"2,367"
110年 1月,KTM,"2,400"
110年 2月,KTM,"2,421"
110年 3月,KTM,"2,456"
110年 4月,KTM,"2,514"
110年 5月,KTM,"2,575"
110年 6月,KTM,"2,618"
110年 7月,KTM,"2,658"
110年 8月,KTM,"2,702"
110年 9月,KTM,"2,732"
110年 10月,KTM,"2,767"
110年 11月,KTM,"2,819"
110年 12月,KTM,"2,845"
111年 1月,KTM,"2,867"
111年 2月,KTM,"2,872"
111年 3月,KTM,"2,894"
111年 4月,KTM,"2,900"
111年 5月,KTM,"2,930"
111年 6月,KTM,"3,008"
111年 7月,KTM,"3,036"
111年 8月,KTM,"3,108"
111年 9月,KTM,"3,137"
111年 10月,KTM,"3,163"
111年 11月,KTM,"3,188"
111年 12月,KTM,"3,219"
112年 1月,KTM,"3,239"
112年 2月,KTM,"3,260"
112年 3月,KTM,"3,338"
112年 4月,KTM,"3,373"
112年 5月,KTM,"3,401"
112年 6月,KTM,"3,432"
112年 7月,KTM,"3,457"
112年 8月,KTM,"3,529"
107年 1月,MVAGUSTA,559
107年 2月,MVAGUSTA,563
107年 3月,MVAGUSTA,568
107年 4月,MVAGUSTA,574
107年 5月,MVAGUSTA,579
107年 6月,MVAGUSTA,590
107年 7月,MVAGUSTA,594
107年 8月,MVAGUSTA,601
107年 9月,MVAGUSTA,606
107年 10月,MVAGUSTA,609
107年 11月,MVAGUSTA,608
107年 12月,MVAGUSTA,609
108年 1月,MVAGUSTA,610
108年 2月,MVAGUSTA,618
108年 3月,MVAGUSTA,622
108年 4月,MVAGUSTA,625
108年 5月,MVAGUSTA,632
108年 6月,MVAGUSTA,634
108年 7月,MVAGUSTA,641
108年 8月,MVAGUSTA,642
108年 9月,MVAGUSTA,647
108年 10月,MVAGUSTA,654
108年 11月,MVAGUSTA,656
108年 12月,MVAGUSTA,658
109年 1月,MVAGUSTA,659
109年 2月,MVAGUSTA,662
109年 3月,MVAGUSTA,663
109年 4月,MVAGUSTA,667
109年 5月,MVAGUSTA,672
109年 6月,MVAGUSTA,678
109年 7月,MVAGUSTA,684
109年 8月,MVAGUSTA,684
109年 9月,MVAGUSTA,690
109年 10月,MVAGUSTA,699
109年 11月,MVAGUSTA,717
109年 12月,MVAGUSTA,737
