統計期,年份,月份,廠牌,數量
108年 5月,108年,5,HONDA,19189
108年 6月,108年,6,HONDA,19566
108年 7月,108年,7,HONDA,19793
108年 8月,108年,8,HONDA,20094
108年 9月,108年,9,HONDA,20301
108年 10月,108年,10,HONDA,20609
108年 11月,108年,11,HONDA,20839
108年 12月,108年,12,HONDA,20987
109年 1月,109年,1,HONDA,21136
109年 2月,109年,2,HONDA,21717
109年 3月,109年,3,HONDA,21950
109年 4月,109年,4,HONDA,22407
109年 5月,109年,5,HONDA,22766
109年 6月,109年,6,HONDA,23472
109年 7月,109年,7,HONDA,23996
109年 8月,109年,8,HONDA,24316
109年 9月,109年,9,HONDA,24836
109年 10月,109年,10,HONDA,25155
109年 11月,109年,11,HONDA,25490
109年 12月,109年,12,HONDA,25726
110年 1月,110年,1,HONDA,26000
110年 2月,110年,2,HONDA,26219
110年 3月,110年,3,HONDA,26846
110年 4月,110年,4,HONDA,27524
110年 5月,110年,5,HONDA,28222
110年 6月,110年,6,HONDA,29646
110年 7月,110年,7,HONDA,30251
110年 8月,110年,8,HONDA,31175
110年 9月,110年,9,HONDA,32292
110年 10月,110年,10,HONDA,33205
110年 11月,110年,11,HONDA,33991
110年 12月,110年,12,HONDA,34559
111年 1月,111年,1,HONDA,35023
111年 2月,111年,2,HONDA,35423
111年 3月,111年,3,HONDA,36637
111年 4月,111年,4,HONDA,37552
111年 5月,111年,5,HONDA,38458
111年 6月,111年,6,HONDA,39000
111年 7月,111年,7,HONDA,39537
111年 8月,111年,8,HONDA,40231
111年 9月,111年,9,HONDA,41114
111年 10月,111年,10,HONDA,42010
111年 11月,111年,11,HONDA,42484
111年 12月,111年,12,HONDA,43260
112年 1月,112年,1,HONDA,43643
112年 2月,112年,2,HONDA,44742
112年 3月,112年,3,HONDA,45951
112年 4月,112年,4,HONDA,46610
112年 5月,112年,5,HONDA,47941
112年 6月,112年,6,HONDA,48803
112年 7月,112年,7,HONDA,49633
112年 8月,112年,8,HONDA,50502
107年 1月,107年,1,HUSQVARNA,72
107年 2月,107年,2,HUSQVARNA,72
107年 3月,107年,3,HUSQVARNA,72
107年 4月,107年,4,HUSQVARNA,72
107年 5月,107年,5,HUSQVARNA,73
107年 6月,107年,6,HUSQVARNA,76
107年 7月,107年,7,HUSQVARNA,77
107年 8月,107年,8,HUSQVARNA,78
107年 9月,107年,9,HUSQVARNA,77
107年 10月,107年,10,HUSQVARNA,81
107年 11月,107年,11,HUSQVARNA,82
107年 12月,107年,12,HUSQVARNA,83
108年 1月,108年,1,HUSQVARNA,85
108年 2月,108年,2,HUSQVARNA,89
108年 3月,108年,3,HUSQVARNA,93
108年 4月,108年,4,HUSQVARNA,103
108年 5月,108年,5,HUSQVARNA,121
108年 6月,108年,6,HUSQVARNA,134
108年 7月,108年,7,HUSQVARNA,151
108年 8月,108年,8,HUSQVARNA,159
108年 9月,108年,9,HUSQVARNA,165
108年 10月,108年,10,HUSQVARNA,167
108年 11月,108年,11,HUSQVARNA,174
108年 12月,108年,12,HUSQVARNA,183
109年 1月,109年,1,HUSQVARNA,193
109年 2月,109年,2,HUSQVARNA,198
109年 3月,109年,3,HUSQVARNA,205
109年 4月,109年,4,HUSQVARNA,216
109年 5月,109年,5,HUSQVARNA,225
109年 6月,109年,6,HUSQVARNA,231
109年 7月,109年,7,HUSQVARNA,237
109年 8月,109年,8,HUSQVARNA,243
109年 9月,109年,9,HUSQVARNA,246
109年 10月,109年,10,HUSQVARNA,257
109年 11月,109年,11,HUSQVARNA,266
109年 12月,109年,12,HUSQVARNA,272
110年 1月,110年,1,HUSQVARNA,279
110年 2月,110年,2,HUSQVARNA,290
110年 3月,110年,3,HUSQVARNA,326
110年 4月,110年,4,HUSQVARNA,353
110年 5月,110年,5,HUSQVARNA,429
110年 6月,110年,6,HUSQVARNA,475
110年 7月,110年,7,HUSQVARNA,492
110年 8月,110年,8,HUSQVARNA,509
110年 9月,110年,9,HUSQVARNA,547
110年 10月,110年,10,HUSQVARNA,583
110年 11月,110年,11,HUSQVARNA,632
110年 12月,110年,12,HUSQVARNA,654
111年 1月,111年,1,HUSQVARNA,667
111年 2月,111年,2,HUSQVARNA,674
111年 3月,111年,3,HUSQVARNA,688
111年 4月,111年,4,HUSQVARNA,733
111年 5月,111年,5,HUSQVARNA,764
111年 6月,111年,6,HUSQVARNA,780
111年 7月,111年,7,HUSQVARNA,834
111年 8月,111年,8,HUSQVARNA,862
111年 9月,111年,9,HUSQVARNA,894
111年 10月,111年,10,HUSQVARNA,923
111年 11月,111年,11,HUSQVARNA,949
111年 12月,111年,12,HUSQVARNA,986
112年 1月,112年,1,HUSQVARNA,997
112年 2月,112年,2,HUSQVARNA,1015
112年 3月,112年,3,HUSQVARNA,1056
112年 4月,112年,4,HUSQVARNA,1089
112年 5月,112年,5,HUSQVARNA,1117
112年 6月,112年,6,HUSQVARNA,1150
112年 7月,112年,7,HUSQVARNA,1177
112年 8月,112年,8,HUSQVARNA,1198
107年 1月,107年,1,INDIAN,458
107年 2月,107年,2,INDIAN,459
107年 3月,107年,3,INDIAN,462
107年 4月,107年,4,INDIAN,470
107年 5月,107年,5,INDIAN,479
107年 6月,107年,6,INDIAN,492
107年 7月,107年,7,INDIAN,498
107年 8月,107年,8,INDIAN,513
107年 9月,107年,9,INDIAN,522
107年 10月,107年,10,INDIAN,526
107年 11月,107年,11,INDIAN,533
107年 12月,107年,12,INDIAN,548
108年 1月,108年,1,INDIAN,553
108年 2月,108年,2,INDIAN,555
108年 3月,108年,3,INDIAN,560
108年 4月,108年,4,INDIAN,571
108年 5月,108年,5,INDIAN,578
108年 6月,108年,6,INDIAN,582
108年 7月,108年,7,INDIAN,592
108年 8月,108年,8,INDIAN,601
108年 9月,108年,9,INDIAN,608
108年 10月,108年,10,INDIAN,614
108年 11月,108年,11,INDIAN,622
108年 12月,108年,12,INDIAN,647
109年 1月,109年,1,INDIAN,645
109年 2月,109年,2,INDIAN,650
109年 3月,109年,3,INDIAN,661
109年 4月,109年,4,INDIAN,680
109年 5月,109年,5,INDIAN,687
109年 6月,109年,6,INDIAN,710
109年 7月,109年,7,INDIAN,727
109年 8月,109年,8,INDIAN,737
109年 9月,109年,9,INDIAN,754
109年 10月,109年,10,INDIAN,780
109年 11月,109年,11,INDIAN,792
109年 12月,109年,12,INDIAN,807
110年 1月,110年,1,INDIAN,820
110年 2月,110年,2,INDIAN,828
110年 3月,110年,3,INDIAN,844
110年 4月,110年,4,INDIAN,862
110年 5月,110年,5,INDIAN,883
110年 6月,110年,6,INDIAN,896
110年 7月,110年,7,INDIAN,908
110年 8月,110年,8,INDIAN,917
110年 9月,110年,9,INDIAN,937
110年 10月,110年,10,INDIAN,953
110年 11月,110年,11,INDIAN,965
110年 12月,110年,12,INDIAN,978
111年 1月,111年,1,INDIAN,995
111年 2月,111年,2,INDIAN,1003
111年 3月,111年,3,INDIAN,1017
111年 4月,111年,4,INDIAN,1022
111年 5月,111年,5,INDIAN,1024
111年 6月,111年,6,INDIAN,1043
111年 7月,111年,7,INDIAN,1052
111年 8月,111年,8,INDIAN,1058
111年 9月,111年,9,INDIAN,1070
111年 10月,111年,10,INDIAN,1084
111年 11月,111年,11,INDIAN,1094
111年 12月,111年,12,INDIAN,1104
112年 1月,112年,1,INDIAN,1117
112年 2月,112年,2,INDIAN,1126
112年 3月,112年,3,INDIAN,1135
112年 4月,112年,4,INDIAN,1155
112年 5月,112年,5,INDIAN,1165
112年 6月,112年,6,INDIAN,1182
112年 7月,112年,7,INDIAN,1195
112年 8月,112年,8,INDIAN,1200
107年 1月,107年,1,KAWASAKI,13502
107年 2月,107年,2,KAWASAKI,13617
107年 3月,107年,3,KAWASAKI,13805
107年 4月,107年,4,KAWASAKI,13929
107年 5月,107年,5,KAWASAKI,14029
107年 6月,107年,6,KAWASAKI,14301
107年 7月,107年,7,KAWASAKI,14388
107年 8月,107年,8,KAWASAKI,14691
107年 9月,107年,9,KAWASAKI,14836
107年 10月,107年,10,KAWASAKI,14925
107年 11月,107年,11,KAWASAKI,15026
107年 12月,107年,12,KAWASAKI,15269
108年 1月,108年,1,KAWASAKI,15283
108年 2月,108年,2,KAWASAKI,15394
108年 3月,108年,3,KAWASAKI,15591
108年 4月,108年,4,KAWASAKI,15724
108年 5月,108年,5,KAWASAKI,16138
108年 6月,108年,6,KAWASAKI,16331
108年 7月,108年,7,KAWASAKI,16615
108年 8月,108年,8,KAWASAKI,16756
108年 9月,108年,9,KAWASAKI,16930
108年 10月,108年,10,KAWASAKI,17095
108年 11月,108年,11,KAWASAKI,17267
108年 12月,108年,12,KAWASAKI,17454
109年 1月,109年,1,KAWASAKI,17519
109年 2月,109年,2,KAWASAKI,17695
109年 3月,109年,3,KAWASAKI,17889
109年 4月,109年,4,KAWASAKI,18037
109年 5月,109年,5,KAWASAKI,18288
109年 6月,109年,6,KAWASAKI,18599
109年 7月,109年,7,KAWASAKI,19044
109年 8月,109年,8,KAWASAKI,19358
109年 9月,109年,9,KAWASAKI,19622
109年 10月,109年,10,KAWASAKI,19763
109年 11月,109年,11,KAWASAKI,19820
109年 12月,109年,12,KAWASAKI,20206
110年 1月,110年,1,KAWASAKI,20259
110年 2月,110年,2,KAWASAKI,20286
110年 3月,110年,3,KAWASAKI,20407
110年 4月,110年,4,KAWASAKI,20893
110年 5月,110年,5,KAWASAKI,21230
110年 6月,110年,6,KAWASAKI,21402
110年 7月,110年,7,KAWASAKI,21654
110年 8月,110年,8,KAWASAKI,21819
110年 9月,110年,9,KAWASAKI,22137
110年 10月,110年,10,KAWASAKI,22362
110年 11月,110年,11,KAWASAKI,22592
110年 12月,110年,12,KAWASAKI,22864
111年 1月,111年,1,KAWASAKI,23046
111年 2月,111年,2,KAWASAKI,23157
111年 3月,111年,3,KAWASAKI,23318
111年 4月,111年,4,KAWASAKI,23437
111年 5月,111年,5,KAWASAKI,23504
111年 6月,111年,6,KAWASAKI,23568
111年 7月,111年,7,KAWASAKI,23761
111年 8月,111年,8,KAWASAKI,23994
111年 9月,111年,9,KAWASAKI,24196
111年 10月,111年,10,KAWASAKI,24281
111年 11月,111年,11,KAWASAKI,24553
111年 12月,111年,12,KAWASAKI,24829
112年 1月,112年,1,KAWASAKI,24888
112年 2月,112年,2,KAWASAKI,24961
112年 3月,112年,3,KAWASAKI,25070
112年 4月,112年,4,KAWASAKI,25364
112年 5月,112年,5,KAWASAKI,25729
112年 6月,112年,6,KAWASAKI,26023
112年 7月,112年,7,KAWASAKI,26186
112年 8月,112年,8,KAWASAKI,26311
107年 1月,107年,1,KTM,1135
107年 2月,107年,2,KTM,1165
107年 3月,107年,3,KTM,1189
107年 4月,107年,4,KTM,1209
107年 5月,107年,5,KTM,1236
107年 6月,107年,6,KTM,1295
107年 7月,107年,7,KTM,1324
107年 8月,107年,8,KTM,1351
107年 9月,107年,9,KTM,1387
107年 10月,107年,10,KTM,1422
107年 11月,107年,11,KTM,1447
107年 12月,107年,12,KTM,1487
108年 1月,108年,1,KTM,1521
108年 2月,108年,2,KTM,1538
108年 3月,108年,3,KTM,1570
108年 4月,108年,4,KTM,1592
108年 5月,108年,5,KTM,1605
108年 6月,108年,6,KTM,1635
108年 7月,108年,7,KTM,1654
108年 8月,108年,8,KTM,1668
108年 9月,108年,9,KTM,1690
108年 10月,108年,10,KTM,1726
108年 11月,108年,11,KTM,1754
108年 12月,108年,12,KTM,1793
