統計期,年份,月份,廠牌,數量
109年 5月,109年,5,HARLEY0DAVIDSON,51
109年 6月,109年,6,HARLEY0DAVIDSON,37
109年 7月,109年,7,HARLEY0DAVIDSON,55
109年 8月,109年,8,HARLEY0DAVIDSON,32
109年 9月,109年,9,HARLEY0DAVIDSON,27
109年 10月,109年,10,HARLEY0DAVIDSON,24
109年 11月,109年,11,HARLEY0DAVIDSON,36
109年 12月,109年,12,HARLEY0DAVIDSON,28
110年 1月,110年,1,HARLEY0DAVIDSON,10
110年 2月,110年,2,HARLEY0DAVIDSON,12
110年 3月,110年,3,HARLEY0DAVIDSON,44
110年 4月,110年,4,HARLEY0DAVIDSON,18
110年 5月,110年,5,HARLEY0DAVIDSON,16
110年 6月,110年,6,HARLEY0DAVIDSON,13
110年 7月,110年,7,HARLEY0DAVIDSON,14
110年 8月,110年,8,HARLEY0DAVIDSON,12
110年 9月,110年,9,HARLEY0DAVIDSON,29
110年 10月,110年,10,HARLEY0DAVIDSON,32
110年 11月,110年,11,HARLEY0DAVIDSON,57
110年 12月,110年,12,HARLEY0DAVIDSON,43
111年 1月,111年,1,HARLEY0DAVIDSON,25
111年 2月,111年,2,HARLEY0DAVIDSON,16
111年 3月,111年,3,HARLEY0DAVIDSON,32
111年 4月,111年,4,HARLEY0DAVIDSON,38
111年 5月,111年,5,HARLEY0DAVIDSON,47
111年 6月,111年,6,HARLEY0DAVIDSON,21
111年 7月,111年,7,HARLEY0DAVIDSON,38
111年 8月,111年,8,HARLEY0DAVIDSON,29
111年 9月,111年,9,HARLEY0DAVIDSON,33
111年 10月,111年,10,HARLEY0DAVIDSON,31
111年 11月,111年,11,HARLEY0DAVIDSON,52
111年 12月,111年,12,HARLEY0DAVIDSON,27
112年 1月,112年,1,HARLEY0DAVIDSON,16
112年 2月,112年,2,HARLEY0DAVIDSON,22
112年 3月,112年,3,HARLEY0DAVIDSON,34
112年 4月,112年,4,HARLEY0DAVIDSON,42
112年 5月,112年,5,HARLEY0DAVIDSON,47
112年 6月,112年,6,HARLEY0DAVIDSON,38
112年 7月,112年,7,HARLEY0DAVIDSON,37
112年 8月,112年,8,HARLEY0DAVIDSON,29
107年 1月,107年,1,HONDA,192
107年 2月,107年,2,HONDA,109
107年 3月,107年,3,HONDA,253
107年 4月,107年,4,HONDA,139
107年 5月,107年,5,HONDA,156
107年 6月,107年,6,HONDA,204
107年 7月,107年,7,HONDA,349
107年 8月,107年,8,HONDA,323
107年 9月,107年,9,HONDA,246
107年 10月,107年,10,HONDA,278
107年 11月,107年,11,HONDA,193
107年 12月,107年,12,HONDA,199
108年 1月,108年,1,HONDA,232
108年 2月,108年,2,HONDA,202
108年 3月,108年,3,HONDA,241
108年 4月,108年,4,HONDA,568
108年 5月,108年,5,HONDA,353
108年 6月,108年,6,HONDA,385
108年 7月,108年,7,HONDA,237
108年 8月,108年,8,HONDA,311
108年 9月,108年,9,HONDA,222
108年 10月,108年,10,HONDA,314
108年 11月,108年,11,HONDA,239
108年 12月,108年,12,HONDA,163
109年 1月,109年,1,HONDA,173
109年 2月,109年,2,HONDA,578
109年 3月,109年,3,HONDA,247
109年 4月,109年,4,HONDA,468
109年 5月,109年,5,HONDA,358
109年 6月,109年,6,HONDA,721
109年 7月,109年,7,HONDA,540
109年 8月,109年,8,HONDA,332
109年 9月,109年,9,HONDA,539
109年 10月,109年,10,HONDA,332
109年 11月,109年,11,HONDA,349
109年 12月,109年,12,HONDA,252
110年 1月,110年,1,HONDA,277
110年 2月,110年,2,HONDA,232
110年 3月,110年,3,HONDA,642
110年 4月,110年,4,HONDA,701
110年 5月,110年,5,HONDA,708
110年 6月,110年,6,HONDA,1433
110年 7月,110年,7,HONDA,610
110年 8月,110年,8,HONDA,951
110年 9月,110年,9,HONDA,1121
110年 10月,110年,10,HONDA,915
110年 11月,110年,11,HONDA,801
110年 12月,110年,12,HONDA,583
111年 1月,111年,1,HONDA,465
111年 2月,111年,2,HONDA,414
111年 3月,111年,3,HONDA,1242
111年 4月,111年,4,HONDA,926
111年 5月,111年,5,HONDA,922
111年 6月,111年,6,HONDA,560
111年 7月,111年,7,HONDA,559
111年 8月,111年,8,HONDA,707
111年 9月,111年,9,HONDA,907
111年 10月,111年,10,HONDA,921
111年 11月,111年,11,HONDA,488
111年 12月,111年,12,HONDA,794
112年 1月,112年,1,HONDA,402
112年 2月,112年,2,HONDA,1118
112年 3月,112年,3,HONDA,1237
112年 4月,112年,4,HONDA,664
112年 5月,112年,5,HONDA,1352
112年 6月,112年,6,HONDA,874
112年 7月,112年,7,HONDA,851
112年 8月,112年,8,HONDA,891
107年 1月,107年,1,HUSQVARNA,0
107年 2月,107年,2,HUSQVARNA,0
107年 3月,107年,3,HUSQVARNA,0
107年 4月,107年,4,HUSQVARNA,0
107年 5月,107年,5,HUSQVARNA,0
107年 6月,107年,6,HUSQVARNA,4
107年 7月,107年,7,HUSQVARNA,1
107年 8月,107年,8,HUSQVARNA,1
107年 9月,107年,9,HUSQVARNA,0
107年 10月,107年,10,HUSQVARNA,4
107年 11月,107年,11,HUSQVARNA,1
107年 12月,107年,12,HUSQVARNA,1
108年 1月,108年,1,HUSQVARNA,2
108年 2月,108年,2,HUSQVARNA,4
108年 3月,108年,3,HUSQVARNA,4
108年 4月,108年,4,HUSQVARNA,10
108年 5月,108年,5,HUSQVARNA,19
108年 6月,108年,6,HUSQVARNA,14
108年 7月,108年,7,HUSQVARNA,17
108年 8月,108年,8,HUSQVARNA,7
108年 9月,108年,9,HUSQVARNA,6
108年 10月,108年,10,HUSQVARNA,2
108年 11月,108年,11,HUSQVARNA,7
108年 12月,108年,12,HUSQVARNA,9
109年 1月,109年,1,HUSQVARNA,10
109年 2月,109年,2,HUSQVARNA,6
109年 3月,109年,3,HUSQVARNA,8
109年 4月,109年,4,HUSQVARNA,10
109年 5月,109年,5,HUSQVARNA,9
109年 6月,109年,6,HUSQVARNA,6
109年 7月,109年,7,HUSQVARNA,6
109年 8月,109年,8,HUSQVARNA,6
109年 9月,109年,9,HUSQVARNA,3
109年 10月,109年,10,HUSQVARNA,11
109年 11月,109年,11,HUSQVARNA,9
109年 12月,109年,12,HUSQVARNA,6
110年 1月,110年,1,HUSQVARNA,7
110年 2月,110年,2,HUSQVARNA,12
110年 3月,110年,3,HUSQVARNA,38
110年 4月,110年,4,HUSQVARNA,28
110年 5月,110年,5,HUSQVARNA,76
110年 6月,110年,6,HUSQVARNA,47
110年 7月,110年,7,HUSQVARNA,17
110年 8月,110年,8,HUSQVARNA,17
110年 9月,110年,9,HUSQVARNA,38
110年 10月,110年,10,HUSQVARNA,37
110年 11月,110年,11,HUSQVARNA,49
110年 12月,110年,12,HUSQVARNA,23
111年 1月,111年,1,HUSQVARNA,13
111年 2月,111年,2,HUSQVARNA,7
111年 3月,111年,3,HUSQVARNA,15
111年 4月,111年,4,HUSQVARNA,45
111年 5月,111年,5,HUSQVARNA,32
111年 6月,111年,6,HUSQVARNA,16
111年 7月,111年,7,HUSQVARNA,56
111年 8月,111年,8,HUSQVARNA,29
111年 9月,111年,9,HUSQVARNA,32
111年 10月,111年,10,HUSQVARNA,29
111年 11月,111年,11,HUSQVARNA,26
111年 12月,111年,12,HUSQVARNA,38
112年 1月,112年,1,HUSQVARNA,12
112年 2月,112年,2,HUSQVARNA,19
112年 3月,112年,3,HUSQVARNA,43
112年 4月,112年,4,HUSQVARNA,33
112年 5月,112年,5,HUSQVARNA,30
112年 6月,112年,6,HUSQVARNA,33
112年 7月,112年,7,HUSQVARNA,27
112年 8月,112年,8,HUSQVARNA,22
107年 1月,107年,1,INDIAN,17
107年 2月,107年,2,INDIAN,1
107年 3月,107年,3,INDIAN,3
107年 4月,107年,4,INDIAN,8
107年 5月,107年,5,INDIAN,9
107年 6月,107年,6,INDIAN,13
107年 7月,107年,7,INDIAN,6
107年 8月,107年,8,INDIAN,15
107年 9月,107年,9,INDIAN,9
107年 10月,107年,10,INDIAN,4
107年 11月,107年,11,INDIAN,8
107年 12月,107年,12,INDIAN,15
108年 1月,108年,1,INDIAN,5
108年 2月,108年,2,INDIAN,2
108年 3月,108年,3,INDIAN,5
108年 4月,108年,4,INDIAN,11
108年 5月,108年,5,INDIAN,9
108年 6月,108年,6,INDIAN,4
108年 7月,108年,7,INDIAN,10
108年 8月,108年,8,INDIAN,10
108年 9月,108年,9,INDIAN,7
108年 10月,108年,10,INDIAN,6
108年 11月,108年,11,INDIAN,7
108年 12月,108年,12,INDIAN,25
109年 1月,109年,1,INDIAN,1
109年 2月,109年,2,INDIAN,3
109年 3月,109年,3,INDIAN,11
109年 4月,109年,4,INDIAN,18
109年 5月,109年,5,INDIAN,8
109年 6月,109年,6,INDIAN,21
109年 7月,109年,7,INDIAN,19
109年 8月,109年,8,INDIAN,10
109年 9月,109年,9,INDIAN,15
109年 10月,109年,10,INDIAN,25
109年 11月,109年,11,INDIAN,12
109年 12月,109年,12,INDIAN,15
110年 1月,110年,1,INDIAN,13
110年 2月,110年,2,INDIAN,8
110年 3月,110年,3,INDIAN,15
110年 4月,110年,4,INDIAN,18
110年 5月,110年,5,INDIAN,22
110年 6月,110年,6,INDIAN,13
110年 7月,110年,7,INDIAN,12
110年 8月,110年,8,INDIAN,9
110年 9月,110年,9,INDIAN,20
110年 10月,110年,10,INDIAN,16
110年 11月,110年,11,INDIAN,14
110年 12月,110年,12,INDIAN,15
111年 1月,111年,1,INDIAN,16
111年 2月,111年,2,INDIAN,7
111年 3月,111年,3,INDIAN,16
111年 4月,111年,4,INDIAN,6
111年 5月,111年,5,INDIAN,1
111年 6月,111年,6,INDIAN,19
111年 7月,111年,7,INDIAN,11
111年 8月,111年,8,INDIAN,4
111年 9月,111年,9,INDIAN,12
111年 10月,111年,10,INDIAN,15
111年 11月,111年,11,INDIAN,11
111年 12月,111年,12,INDIAN,10
112年 1月,112年,1,INDIAN,13
112年 2月,112年,2,INDIAN,8
112年 3月,112年,3,INDIAN,9
112年 4月,112年,4,INDIAN,20
112年 5月,112年,5,INDIAN,12
112年 6月,112年,6,INDIAN,17
112年 7月,112年,7,INDIAN,14
112年 8月,112年,8,INDIAN,5
107年 1月,107年,1,KAWASAKI,98
107年 2月,107年,2,KAWASAKI,122
107年 3月,107年,3,KAWASAKI,204
107年 4月,107年,4,KAWASAKI,128
107年 5月,107年,5,KAWASAKI,116
107年 6月,107年,6,KAWASAKI,301
107年 7月,107年,7,KAWASAKI,105
107年 8月,107年,8,KAWASAKI,317
107年 9月,107年,9,KAWASAKI,148
107年 10月,107年,10,KAWASAKI,96
107年 11月,107年,11,KAWASAKI,101
107年 12月,107年,12,KAWASAKI,252
108年 1月,108年,1,KAWASAKI,35
108年 2月,108年,2,KAWASAKI,127
108年 3月,108年,3,KAWASAKI,211
108年 4月,108年,4,KAWASAKI,153
108年 5月,108年,5,KAWASAKI,429
108年 6月,108年,6,KAWASAKI,199
108年 7月,108年,7,KAWASAKI,290
108年 8月,108年,8,KAWASAKI,152
108年 9月,108年,9,KAWASAKI,192
108年 10月,108年,10,KAWASAKI,172
108年 11月,108年,11,KAWASAKI,175
108年 12月,108年,12,KAWASAKI,196
109年 1月,109年,1,KAWASAKI,93
109年 2月,109年,2,KAWASAKI,172
109年 3月,109年,3,KAWASAKI,219
109年 4月,109年,4,KAWASAKI,167
109年 5月,109年,5,KAWASAKI,258
109年 6月,109年,6,KAWASAKI,327
109年 7月,109年,7,KAWASAKI,472
109年 8月,109年,8,KAWASAKI,328
109年 9月,109年,9,KAWASAKI,280
109年 10月,109年,10,KAWASAKI,150
109年 11月,109年,11,KAWASAKI,78
109年 12月,109年,12,KAWASAKI,407
110年 1月,110年,1,KAWASAKI,81
110年 2月,110年,2,KAWASAKI,51
110年 3月,110年,3,KAWASAKI,151
110年 4月,110年,4,KAWASAKI,514
110年 5月,110年,5,KAWASAKI,374
110年 6月,110年,6,KAWASAKI,186
110年 7月,110年,7,KAWASAKI,270
110年 8月,110年,8,KAWASAKI,180
110年 9月,110年,9,KAWASAKI,331
110年 10月,110年,10,KAWASAKI,242
110年 11月,110年,11,KAWASAKI,261
110年 12月,110年,12,KAWASAKI,298
111年 1月,111年,1,KAWASAKI,193
111年 2月,111年,2,KAWASAKI,114
111年 3月,111年,3,KAWASAKI,210
111年 4月,111年,4,KAWASAKI,149
111年 5月,111年,5,KAWASAKI,85
111年 6月,111年,6,KAWASAKI,92
111年 7月,111年,7,KAWASAKI,211
111年 8月,111年,8,KAWASAKI,243
111年 9月,111年,9,KAWASAKI,226
111年 10月,111年,10,KAWASAKI,95
111年 11月,111年,11,KAWASAKI,300
111年 12月,111年,12,KAWASAKI,291
112年 1月,112年,1,KAWASAKI,103
112年 2月,112年,2,KAWASAKI,96
112年 3月,112年,3,KAWASAKI,134
112年 4月,112年,4,KAWASAKI,305
112年 5月,112年,5,KAWASAKI,389
112年 6月,112年,6,KAWASAKI,306
112年 7月,112年,7,KAWASAKI,187
112年 8月,112年,8,KAWASAKI,144
107年 1月,107年,1,KTM,59
107年 2月,107年,2,KTM,32
107年 3月,107年,3,KTM,24
107年 4月,107年,4,KTM,20
107年 5月,107年,5,KTM,27
107年 6月,107年,6,KTM,60
107年 7月,107年,7,KTM,31
107年 8月,107年,8,KTM,29
107年 9月,107年,9,KTM,36
107年 10月,107年,10,KTM,35
107年 11月,107年,11,KTM,26
107年 12月,107年,12,KTM,40
108年 1月,108年,1,KTM,36
108年 2月,108年,2,KTM,19
108年 3月,108年,3,KTM,32
108年 4月,108年,4,KTM,25
108年 5月,108年,5,KTM,18
108年 6月,108年,6,KTM,31
108年 7月,108年,7,KTM,19
108年 8月,108年,8,KTM,16
108年 9月,108年,9,KTM,22
108年 10月,108年,10,KTM,37
108年 11月,108年,11,KTM,29
108年 12月,108年,12,KTM,41
109年 1月,109年,1,KTM,26
109年 2月,109年,2,KTM,33
109年 3月,109年,3,KTM,40
109年 4月,109年,4,KTM,40
109年 5月,109年,5,KTM,65
109年 6月,109年,6,KTM,47
109年 7月,109年,7,KTM,45
109年 8月,109年,8,KTM,22
109年 9月,109年,9,KTM,88
109年 10月,109年,10,KTM,75
109年 11月,109年,11,KTM,53
109年 12月,109年,12,KTM,55
110年 1月,110年,1,KTM,33
110年 2月,110年,2,KTM,22
110年 3月,110年,3,KTM,38
110年 4月,110年,4,KTM,63
110年 5月,110年,5,KTM,65
110年 6月,110年,6,KTM,45
110年 7月,110年,7,KTM,43
110年 8月,110年,8,KTM,48
110年 9月,110年,9,KTM,35
110年 10月,110年,10,KTM,37
110年 11月,110年,11,KTM,54
110年 12月,110年,12,KTM,29
111年 1月,111年,1,KTM,24
111年 2月,111年,2,KTM,11
111年 3月,111年,3,KTM,24
111年 4月,111年,4,KTM,13
111年 5月,111年,5,KTM,32
111年 6月,111年,6,KTM,76
